image_id,pa_deg,fl_mm,mt_mm
IMG_00001.tif,15.71771671575957,74.21523686755688,18.99685526842759
IMG_00002.tif,16.377519527362924,74.3062787241081,19.53830891674141
IMG_00003.tif,17.082499111728396,73.0418977638334,19.76731504902644
IMG_00004.tif,17.716884827564577,74.20666128676952,20.76265190320464
IMG_00005.tif,18.963117664974362,73.02650511798271,21.263392485912654
IMG_00006.tif,19.88972010272365,72.43045954877718,21.58216045918714
IMG_00007.tif,19.255334386887466,73.16400010647092,21.245966311273946
IMG_00008.tif,18.311850773647826,75.48690386295345,21.054211717315514
IMG_00009.tif,18.311850773647826,74.76105145116686,20.438429209507774
IMG_00010.tif,17.06561793623804,76.21848716797784,20.02361643495712
IMG_00011.tif,16.670385222229843,74.25989896727047,19.599227464370507
IMG_00012.tif,17.521385345631426,71.00147707622641,19.343309539661885
IMG_00013.tif,18.372385469033013,68.173389393149,19.41290184460673
IMG_00014.tif,18.057630152857325,69.78709982371254,19.87280380644408
IMG_00015.tif,18.37726055251782,69.36913285735098,20.022563543278807
IMG_00016.tif,17.845890828776735,71.60015167637066,20.15140121055438
IMG_00017.tif,17.845890828776735,70.77738792477525,20.045502028573612
IMG_00018.tif,16.99489070537515,73.34170025208483,19.919524466344537
IMG_00019.tif,16.99489070537515,70.90902388318867,19.171863004830623
IMG_00020.tif,17.309646021550837,69.91784031419037,19.136800946839365
IMG_00021.tif,17.309646021550833,70.03831598077602,19.054617146091694
IMG_00022.tif,17.09303161398543,73.86980287134881,19.867998220652275
IMG_00023.tif,17.412662013645928,74.0672388316148,20.222649560004243
IMG_00024.tif,18.036515227225074,75.80377553963152,21.06395266671964
IMG_00025.tif,18.036515227225074,76.40812560493171,21.114276868148057
IMG_00026.tif,18.50657208348374,76.04914564868636,21.13936084225624
IMG_00027.tif,18.191816767308055,76.26364649582828,20.94062359714133
IMG_00028.tif,17.548545862468,76.86863815178556,20.784659519818057
IMG_00029.tif,16.2814217440488,78.08040660784772,20.222020122238277
IMG_00030.tif,15.966666427873111,79.29781033918346,20.471449000981274
IMG_00031.tif,15.81136488779013,79.69775657740038,20.55367387239506
IMG_00032.tif,15.81136488779013,79.95323580694583,20.80175747590483
IMG_00033.tif,16.454635792630185,78.24886950739301,20.560644741392306
IMG_00034.tif,16.45463579263019,79.92953623081168,20.66249226933658
IMG_00035.tif,15.81136488779013,81.97627562585544,20.461552501947924
IMG_00036.tif,15.176979171953949,83.23133975330856,19.895385214763785
IMG_00037.tif,15.176979171953949,83.96457186118445,19.495407754341016
IMG_00038.tif,15.708348895695035,81.2458506848748,19.698782912219617
IMG_00039.tif,15.708348895695035,78.78145101541604,19.727880127029966
IMG_00040.tif,16.882989524276184,72.95133409080776,19.256920474076672
IMG_00041.tif,17.733989647677767,68.82102384635398,19.44729092636154
IMG_00042.tif,17.090718742837712,67.3701681476523,18.903739967240416
IMG_00043.tif,15.916078114256567,70.557773629143,18.52803432711726
IMG_00044.tif,17.090718742837712,66.3963714522134,18.074426876140798
IMG_00045.tif,15.916078114256567,72.71079816030473,18.577192881620846
